date,hour,day,sales,week
2020-02-14,19,Friday,1,7
2020-02-14,20,Friday,0,7
2020-02-15,9,Saturday,2,7
2020-02-15,10,Saturday,1,7
2020-02-15,11,Saturday,1,7
2020-02-15,12,Saturday,2,7
2020-02-15,13,Saturday,3,7
2020-02-15,14,Saturday,3,7
2020-02-15,15,Saturday,0,7
2020-02-15,16,Saturday,0,7
2020-02-15,17,Saturday,0,7
2020-02-15,18,Saturday,0,7
2020-02-15,19,Saturday,0,7
2020-02-15,20,Saturday,0,7
2020-02-16,9,Sunday,1,7
2020-02-16,10,Sunday,1,7
2020-02-16,11,Sunday,1,7
2020-02-16,12,Sunday,0,7
2020-02-16,13,Sunday,1,7
2020-02-16,14,Sunday,1,7
2020-02-16,15,Sunday,0,7
2020-02-16,16,Sunday,0,7
2020-02-16,17,Sunday,0,7
2020-02-16,18,Sunday,0,7
2020-02-16,19,Sunday,1,7
2020-02-16,20,Sunday,0,7
2020-02-17,9,Monday,0,7
2020-02-17,10,Monday,1,7
2020-02-17,11,Monday,3,7
2020-02-17,12,Monday,1,7
2020-02-17,13,Monday,1,7
2020-02-17,14,Monday,1,7
2020-02-17,15,Monday,3,7
2020-02-17,16,Monday,1,7
2020-02-17,17,Monday,0,7
2020-02-17,18,Monday,1,7
2020-02-17,19,Monday,0,7
2020-02-17,20,Monday,1,7
2020-02-18,9,Tuesday,1,7
2020-02-18,10,Tuesday,1,7
2020-02-18,11,Tuesday,1,7
2020-02-18,12,Tuesday,0,7
2020-02-18,13,Tuesday,1,7
2020-02-18,14,Tuesday,0,7
2020-02-18,15,Tuesday,1,7
2020-02-18,16,Tuesday,1,7
2020-02-18,17,Tuesday,0,7
2020-02-18,18,Tuesday,0,7
2020-02-18,19,Tuesday,0,7
2020-02-18,20,Tuesday,0,7
2020-02-19,9,Wednesday,1,8
2020-02-19,10,Wednesday,1,8
2020-02-19,11,Wednesday,0,8
2020-02-19,12,Wednesday,0,8
2020-02-19,13,Wednesday,1,8
2020-02-19,14,Wednesday,1,8
2020-02-19,15,Wednesday,3,8
2020-02-19,16,Wednesday,0,8
2020-02-19,17,Wednesday,0,8
2020-02-19,18,Wednesday,1,8
2020-02-19,19,Wednesday,2,8
2020-02-19,20,Wednesday,0,8
2020-02-20,9,Thursday,0,8
2020-02-20,10,Thursday,0,8
2020-02-20,11,Thursday,1,8
2020-02-20,12,Thursday,0,8
2020-02-20,13,Thursday,1,8
2020-02-20,14,Thursday,3,8
2020-02-20,15,Thursday,1,8
2020-02-20,16,Thursday,1,8
2020-02-20,17,Thursday,0,8
2020-02-20,18,Thursday,1,8
2020-02-20,19,Thursday,0,8
2020-02-20,20,Thursday,0,8
2020-02-21,9,Friday,1,8
2020-02-21,10,Friday,0,8
2020-02-21,11,Friday,0,8
2020-02-21,12,Friday,1,8
2020-02-21,13,Friday,0,8
2020-02-21,14,Friday,1,8
2020-02-21,15,Friday,1,8
2020-02-21,16,Friday,1,8
2020-02-21,17,Friday,0,8
2020-02-21,18,Friday,0,8
2020-02-21,19,Friday,0,8
2020-02-21,20,Friday,0,8
2020-02-22,9,Saturday,1,8
2020-02-22,10,Saturday,1,8
2020-02-22,11,Saturday,1,8
2020-02-22,12,Saturday,1,8
2020-02-22,13,Saturday,3,8
2020-02-22,14,Saturday,0,8
2020-02-22,15,Saturday,1,8
2020-02-22,16,Saturday,0,8
2020-02-22,17,Saturday,0,8
2020-02-22,18,Saturday,1,8
2020-02-22,19,Saturday,0,8
2020-02-22,20,Saturday,0,8
2020-02-23,9,Sunday,0,8
2020-02-23,10,Sunday,1,8
2020-02-23,11,Sunday,0,8
2020-02-23,12,Sunday,3,8
2020-02-23,13,Sunday,1,8
2020-02-23,14,Sunday,1,8
2020-02-23,15,Sunday,1,8
2020-02-23,16,Sunday,0,8
2020-02-23,17,Sunday,1,8
2020-02-23,18,Sunday,0,8
2020-02-23,19,Sunday,0,8
2020-02-23,20,Sunday,1,8
2020-02-24,9,Monday,0,8
2020-02-24,10,Monday,1,8
2020-02-24,11,Monday,0,8
2020-02-24,12,Monday,3,8
2020-02-24,13,Monday,0,8
2020-02-24,14,Monday,3,8
2020-02-24,15,Monday,1,8
2020-02-24,16,Monday,0,8
2020-02-24,17,Monday,0,8
2020-02-24,18,Monday,1,8
2020-02-24,19,Monday,0,8
2020-02-24,20,Monday,0,8
2020-02-25,9,Tuesday,0,8
2020-02-25,10,Tuesday,1,8
2020-02-25,11,Tuesday,1,8
2020-02-25,12,Tuesday,3,8
2020-02-25,13,Tuesday,0,8
2020-02-25,14,Tuesday,1,8
2020-02-25,15,Tuesday,0,8
2020-02-25,16,Tuesday,0,8
2020-02-25,17,Tuesday,1,8
2020-02-25,18,Tuesday,1,8
2020-02-25,19,Tuesday,0,8
2020-02-25,20,Tuesday,0,8
2020-02-26,9,Wednesday,1,9
2020-02-26,10,Wednesday,0,9
2020-02-26,11,Wednesday,1,9
2020-02-26,12,Wednesday,3,9
2020-02-26,13,Wednesday,1,9
2020-02-26,14,Wednesday,1,9
2020-02-26,15,Wednesday,1,9
2020-02-26,16,Wednesday,0,9
2020-02-26,17,Wednesday,0,9
2020-02-26,18,Wednesday,1,9
2020-02-26,19,Wednesday,1,9
2020-02-26,20,Wednesday,1,9
2020-02-27,9,Thursday,0,9
2020-02-27,10,Thursday,1,9
2020-02-27,11,Thursday,3,9
2020-02-27,12,Thursday,1,9
2020-02-27,13,Thursday,1,9
2020-02-27,14,Thursday,3,9
2020-02-27,15,Thursday,3,9
2020-02-27,16,Thursday,1,9
2020-02-27,17,Thursday,1,9
2020-02-27,18,Thursday,0,9
2020-02-27,19,Thursday,0,9
2020-02-27,20,Thursday,1,9
2020-02-28,9,Friday,1,9
2020-02-28,10,Friday,0,9
2020-02-28,11,Friday,1,9
2020-02-28,12,Friday,1,9
2020-02-28,13,Friday,1,9
2020-02-28,14,Friday,1,9
2020-02-28,15,Friday,0,9
2020-02-28,16,Friday,3,9
2020-02-28,17,Friday,1,9
2020-02-28,18,Friday,1,9
2020-02-28,19,Friday,0,9
2020-02-28,20,Friday,0,9
2020-02-29,9,Saturday,0,9
2020-02-29,10,Saturday,1,9
2020-02-29,11,Saturday,3,9
2020-02-29,12,Saturday,0,9
2020-02-29,13,Saturday,0,9
2020-02-29,14,Saturday,1,9
2020-02-29,15,Saturday,3,9
2020-02-29,16,Saturday,3,9
2020-02-29,17,Saturday,0,9
2020-02-29,18,Saturday,0,9
2020-02-29,19,Saturday,0,9
2020-02-29,20,Saturday,0,9
2020-03-01,9,Sunday,2,9
2020-03-01,10,Sunday,0,9
2020-03-01,11,Sunday,1,9
2020-03-01,12,Sunday,1,9
2020-03-01,13,Sunday,1,9
2020-03-01,14,Sunday,0,9
2020-03-01,15,Sunday,1,9
2020-03-01,16,Sunday,0,9
2020-03-01,17,Sunday,0,9
2020-03-01,18,Sunday,0,9
2020-03-01,19,Sunday,0,9
2020-03-01,20,Sunday,0,9
2020-03-02,9,Monday,1,9
2020-03-02,10,Monday,4,9
2020-03-02,11,Monday,1,9
2020-03-02,12,Monday,3,9
2020-03-02,13,Monday,1,9
2020-03-02,14,Monday,3,9
2020-03-02,15,Monday,1,9
2020-03-02,16,Monday,1,9
2020-03-02,17,Monday,0,9
2020-03-02,18,Monday,0,9
2020-03-02,19,Monday,1,9
2020-03-02,20,Monday,0,9
2020-03-03,9,Tuesday,0,9
2020-03-03,10,Tuesday,1,9
2020-03-03,11,Tuesday,3,9
2020-03-03,12,Tuesday,1,9
2020-03-03,13,Tuesday,1,9
2020-03-03,14,Tuesday,1,9
2020-03-03,15,Tuesday,0,9
2020-03-03,16,Tuesday,1,9
2020-03-03,17,Tuesday,1,9
2020-03-03,18,Tuesday,2,9
2020-03-03,19,Tuesday,0,9
2020-03-03,20,Tuesday,1,9
2020-03-04,9,Wednesday,0,10
2020-03-04,10,Wednesday,1,10
2020-03-04,11,Wednesday,3,10
2020-03-04,12,Wednesday,1,10
2020-03-04,13,Wednesday,0,10
2020-03-04,14,Wednesday,3,10
2020-03-04,15,Wednesday,3,10
2020-03-04,16,Wednesday,1,10
2020-03-04,17,Wednesday,0,10
2020-03-04,18,Wednesday,0,10
2020-03-04,19,Wednesday,0,10
2020-03-04,20,Wednesday,0,10
2020-03-05,9,Thursday,1,10
2020-03-05,10,Thursday,1,10
2020-03-05,11,Thursday,1,10
2020-03-05,12,Thursday,1,10
2020-03-05,13,Thursday,3,10
2020-03-05,14,Thursday,0,10
